Day,Profit
2,2.274251718
120,2.289835301
442,2.304008823
216,2.311658667
248,2.32070211
118,2.348915714
3,2.351566553
372,2.399348572
284,2.420854505
108,2.442301301
265,2.472660746
210,2.496464602
353,2.502551183
407,2.574919646
387,2.586659465
66,2.605561336
230,2.606138552
262,2.614800038
432,2.622434911
177,2.633292793
115,2.66011396
448,2.674345504
88,2.683355453
481,2.684454713
157,2.69869822
424,2.708845096
440,2.713955271
467,2.77682949
152,2.780400978
491,2.78227141
227,2.800846006
125,2.811151523
56,2.831247417
300,2.836291333
124,2.851511613
223,2.855725028
480,2.869155225
263,2.871030788
91,2.888622149
151,2.934131463
93,3.019091458
18,3.039997144
382,3.051165263
159,3.054426335
347,3.198832632
327,3.242380692
133,3.274910194
450,3.278459784
103,3.295813698
474,3.33745021
281,3.344663158
214,3.345893782
405,3.348233761
37,3.358387608
388,3.368022059
256,3.401856001
176,3.432776919
221,3.454349388
212,3.482010201
471,3.528295561
336,3.549071129
423,3.549675025
472,3.555159962
492,3.556105155
282,3.617296666
378,3.626260796
122,3.716213243
70,3.751419402
357,3.793000257
233,3.824387178
219,3.831998968
421,3.855922263
452,3.903076775
199,3.909417652
412,3.922441566
60,3.951480193
254,3.952624814
494,3.956616231
402,3.9845073
116,3.989544816
315,4.02227747
280,4.027587277
321,4.079782783
447,4.079958139
445,4.080562142
140,4.112484879
5,4.131027484
127,4.140265034
245,4.16301252
231,4.223336926
322,4.230634217
478,4.233380566
323,4.256054155
291,4.262539506
99,4.319608463
145,4.340547781
296,4.356487075
259,4.384865234
437,4.475121387
275,4.494218933
164,4.604741883
454,4.702534455
206,4.713533854
411,4.738915193
349,4.743708426
433,4.775706162
41,4.785176973
418,4.785381718
384,4.798896942
154,4.836038578
496,4.840091519
460,4.931594482
278,4.965911216
483,4.979375896
360,4.982799671
312,5.029426535
497,5.08249083
121,5.091809511
461,5.108877661
320,5.110548001
55,5.116525015
49,5.167474699
45,5.192619451
485,5.227884343
58,5.250459787
23,5.256730908
311,5.274267755
104,5.301184672
348,5.307845344
89,5.311360941
208,5.313242707
458,5.399122048
444,5.447025349
305,5.481069271
166,5.483368795
295,5.489664575
181,5.536286512
211,5.536377426
370,5.557924909
148,5.572516655
75,5.577468616
14,5.59387208
337,5.628767209
431,5.690690215
290,5.696890341
141,5.712130122
174,5.714557171
39,5.722262085
126,5.742945895
299,5.74690559
84,5.786239417
303,5.800604121
184,5.807294567
475,5.811285918
95,5.86467193
488,5.899740475
493,5.93759969
123,5.949574864
114,5.963268663
131,5.973932472
