Date,Option Premium Amount,Notional Amount 1,USD_notional,Option Premium Currency,Spot_USDAUD,Strike_USDAUD,Expiration Date,Type,Option Style,Adj_Prem,Maturity,IV,Delta,Gamma,Rho,Theta,Vega,NAB,long,CP Region,CP Type
2021-02-23,201799.97040963857,50602410.0,42000000.0,AUD,0.7915399999999999,0.83,2021-05-14,c,EU,0.0048047612002294895,0.2191780821917808,0.11783973972130247,0.2018010621664295,6.445727167435238,0.00033957008558243516,-7.652359048238472e-05,0.001043053414597888,1,-1,Australia,Non-financial firms
2021-02-23,201799.97040963857,50602410.0,42000000.0,AUD,0.7915399999999999,0.83,2021-05-14,c,EU,0.0048047612002294895,0.2191780821917808,0.11783973972130247,0.2018010621664295,6.445727167435238,0.00033957008558243516,-7.652359048238472e-05,0.001043053414597888,0,-1,Australia,Investment Firms
2021-02-23,821875.0,50000000.0,40000000.0,AUD,0.7915399999999999,0.8,2021-05-14,c,EU,0.020546875,0.2191780821917808,0.16554818471113236,0.46001370914246936,6.470314216615611,0.0007530353453909702,-0.00015153493959886452,0.0014709321836819608,0,1,EEA,Investment Firms
2021-02-23,6606.445549872123,2557545.0,2000000.0,AUD,0.7915399999999999,0.782,2021-03-02,p,EU,0.0033032227749360613,0.019178082191780823,0.16264998469162653,-0.2915036981921306,19.2456624954186,-4.488439507653549e-05,-0.0004374310893636969,0.0003761298500814425,1,1,US,Investment Firms
2021-02-23,779.5857948717949,397436.0,310000.0,AUD,0.7915399999999999,0.78,2021-03-02,p,EU,0.002514792886683209,0.019178082191780823,0.15608308238624202,-0.2452102971744936,18.38242581208877,-3.770574960507596e-05,-0.0003847363285694045,0.0003447541983897458,0,1,Australia,Credit Institutions
2021-02-23,22913.991990018712,19962570.0,16000000.0,AUD,0.7915399999999999,0.8015,2021-03-02,c,EU,0.0014321244993761694,0.019178082191780823,0.11091140693373992,0.2097421429540086,23.68812045278611,3.156466299564597e-05,-0.00024977986900871286,0.00031568774716140066,0,-1,Australia,Investment Firms
2021-02-24,4096.9364444444445,345679.0,280000.0,AUD,0.790883,0.81,2021-05-26,c,EU,0.014631915873015874,0.2493150684931507,0.14420630758341277,0.382803199863422,6.7009958519664305,0.0007183281391576874,-0.00011884885766958787,0.0015069422689973008,0,1,Others,Investment Firms
2021-02-24,9031.24221028396,5116398.0,4000000.0,AUD,0.790883,0.7818,2021-03-03,p,EU,0.0022578105525709897,0.019178082191780823,0.13070140808981467,-0.25898302605763734,22.613102734382327,-3.971456389180255e-05,-0.00033139281335198105,0.00035454394988603015,0,-1,US,Investment Firms
2021-02-24,10965.48318877551,2551020.0,2000000.0,AUD,0.790883,0.784,2021-03-08,p,EU,0.005482741594387755,0.03287671232876712,0.1488195743798253,-0.3682189727520411,17.664228264051022,-9.754549065910361e-05,-0.00033577858258947114,0.0005405894787013755,0,-1,US,Credit Institutions
2021-02-24,8319.99901,2547771.0,2000000.0,USD,0.790883,0.785,2021-03-10,p,EU,0.0041599995049999994,0.038356164383561646,0.10860652440847947,-0.35927622266972103,22.22390609555336,-0.00011058291475237693,-0.00022516537529204155,0.0005790765273417408,0,1,Australia,Investment Firms
